"Rk▲","Team","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Year","Num_Teams"
NA,"Utah Jazz*",38.3,82.9,0.462,10.8,29.6,0.366,16.8,21.5,0.779,9,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,2018,30
NA,"Boston Celtics*",38.3,85.1,0.45,11.5,30.4,0.377,16,20.7,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14,19.7,104,2018,30
NA,"Phoenix Suns",38.5,87.1,0.442,9.3,27.9,0.334,17.7,23.9,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22,103.9,2018,30
NA,"Detroit Pistons",39.1,86.9,0.45,10.8,28.9,0.373,14.7,19.8,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,2018,30
NA,"Miami Heat*",38.8,85.3,0.455,11,30.6,0.36,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2018,30
NA,"Orlando Magic",38.8,85.9,0.452,10.3,29.3,0.351,15.5,20.5,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,2018,30
NA,"Atlanta Hawks",38.2,85.5,0.446,11.2,31,0.36,15.8,20.2,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,2018,30
NA,"Chicago Bulls",38.7,88.8,0.435,11,31.1,0.355,14.6,19.2,0.759,9.6,35,44.7,23.5,7.6,3.5,14,19.2,102.9,2018,30
NA,"San Antonio Spurs*",39,85.4,0.457,8.5,24.1,0.352,16.1,20.9,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,2018,30
NA,"Dallas Mavericks",38.1,85.9,0.444,11.8,32.8,0.36,14.2,18.7,0.763,8.1,33.1,41.3,22.7,7,3.8,12.3,19.2,102.3,2018,30
NA,"Memphis Grizzlies",36.7,82.8,0.444,9.2,26.2,0.352,16.6,21.1,0.786,9.5,31,40.5,21.5,7.5,4.8,15,23.2,99.3,2018,30
NA,"Sacramento Kings",38.8,86.1,0.45,9,24,0.375,12.3,16.7,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20,98.8,2018,30
NA,"League Average",39.6,86.1,0.46,10.5,29,0.362,16.6,21.7,0.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3,2018,30
NA,"Milwaukee Bucks*",43.4,91.1,0.476,13.5,38.2,0.353,17.9,23.2,0.773,9.3,40.4,49.7,26,7.5,5.9,13.9,19.6,118.1,2019,30
NA,"Golden State Warriors*",44,89.8,0.491,13.3,34.4,0.385,16.3,20.4,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,2019,30
NA,"New Orleans Pelicans",43.7,92.2,0.473,10.3,29.9,0.344,17.8,23.4,0.761,11.1,36.2,47.3,27,7.4,5.4,14.8,21.1,115.4,2019,30
NA,"Philadelphia 76ers*",41.5,88.2,0.471,10.8,30.2,0.359,21.2,27.5,0.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2,2019,30
NA,"Los Angeles Clippers*",41.3,87.5,0.471,10,25.8,0.388,22.6,28.5,0.792,9.7,35.8,45.5,24,6.8,4.7,14.5,23.3,115.1,2019,30
NA,"Portland Trail Blazers*",42.3,90.6,0.467,11,30.7,0.359,19,23.3,0.814,11.8,36.2,48,23,6.7,5,13.8,20.4,114.7,2019,30
NA,"Oklahoma City Thunder*",42.6,94,0.454,11.4,32.6,0.348,17.8,25,0.713,12.6,35.5,48.1,23.4,9.3,5.2,14,22.4,114.5,2019,30
NA,"Toronto Raptors*",42.2,89.1,0.474,12.4,33.8,0.366,17.7,22,0.804,9.6,35.6,45.2,25.4,8.3,5.3,14,21,114.4,2019,30
NA,"Sacramento Kings",43.2,93.1,0.464,11.3,29.9,0.378,16.5,22.7,0.726,11,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2,2019,30
NA,"Washington Wizards",42.1,90.1,0.468,11.3,33.3,0.341,18.4,23.9,0.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114,2019,30
NA,"Houston Rockets*",39.2,87.4,0.449,16.1,45.4,0.356,19.3,24.4,0.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22,113.9,2019,30
NA,"Atlanta Hawks",41.4,91.8,0.451,13,37,0.352,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17,23.6,113.3,2019,30
NA,"Minnesota Timberwolves",41.6,91.3,0.456,10.1,28.7,0.351,19.1,24.3,0.787,11.3,33.5,44.8,24.6,8.3,5,13.1,20.3,112.5,2019,30
NA,"Boston Celtics*",42.1,90.5,0.465,12.6,34.5,0.365,15.6,19.5,0.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4,2019,30
NA,"Brooklyn Nets*",40.3,89.7,0.449,12.8,36.2,0.353,19,25.5,0.745,11,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2,2019,30
NA,"Los Angeles Lakers",42.6,90.5,0.47,10.3,31,0.333,16.3,23.3,0.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8,2019,30
NA,"San Antonio Spurs*",42.3,88.4,0.478,9.9,25.3,0.392,17.2,21,0.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7,2019,30
NA,"Utah Jazz*",40.4,86.4,0.468,12.1,34,0.356,18.8,25.5,0.736,10,36.4,46.4,26,8.1,5.9,15.1,21.1,111.7,2019,30
